"Status";"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working gas volume (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"E";"2023-03-02";"170.2172";"68.4";"-0.5";"905.3031";"18.8";"33.5";"1271.2";"248.8576";"4274.12";"6953.18"
"E";"2023-03-01";"171.4774";"68.91";"-0.61";"905.3031";"18.94";"22.53";"1536.5";"248.8576";"4274.12";"6953.18"
"E";"2023-02-28";"172.9513";"69.5";"-0.59";"905.3031";"19.1";"60.74";"1540.9";"248.8576";"4274.12";"6953.18"
"E";"2023-02-27";"174.4531";"70.1";"-0.59";"905.3031";"19.27";"56.83";"1533";"248.8576";"4274.12";"6953.18"
"E";"2023-02-26";"175.9617";"70.71";"-0.23";"905.3031";"19.44";"97.12";"672.7";"248.8576";"4274.12";"6953.18"
"E";"2023-02-25";"176.5266";"70.93";"-0.15";"905.3031";"19.5";"113.97";"478.4";"248.8576";"4274.12";"6953.18"
"E";"2023-02-24";"176.891";"71.08";"-0.17";"905.3031";"19.54";"117.84";"540.1";"248.8576";"4274.12";"6953.18"
"E";"2023-02-23";"177.3133";"71.25";"-0.13";"905.3031";"19.59";"167.54";"492.7";"248.8576";"4274.12";"6953.18"
"E";"2023-02-22";"177.6385";"71.38";"-0.21";"905.3031";"19.62";"108.15";"627.6";"248.8576";"4274.12";"6953.18"
"E";"2023-02-21";"178.1583";"71.59";"-0.14";"905.3031";"19.68";"131.98";"492.7";"248.8576";"4274.12";"6953.18"
"E";"2023-02-20";"178.5159";"71.73";"-0.09";"905.3031";"19.72";"161.25";"397.5";"248.8576";"4274.12";"6953.18"
"E";"2023-02-19";"178.732";"71.82";"0.01";"905.3031";"19.74";"273.39";"251.1";"248.8576";"4274.12";"6953.18"
"E";"2023-02-18";"178.71";"71.81";"0.07";"905.3031";"19.74";"429.5";"253.4";"248.8576";"4274.12";"6953.18"
"E";"2023-02-17";"178.558";"71.75";"-0.07";"905.3031";"19.72";"217.85";"390.3";"248.8576";"4274.12";"6953.18"
"E";"2023-02-16";"178.726";"71.82";"-0.27";"905.3031";"19.74";"48.33";"727";"248.8576";"4274.12";"6953.18"
"C";"2023-02-15";"179.4017";"72.09";"-0.3";"905.3031";"19.82";"54.79";"792.9";"248.8576";"4274.12";"6953.18"
"C";"2023-02-14";"180.1398";"72.39";"-0.35";"905.3031";"19.9";"20.36";"896.3";"248.8576";"4274.12";"6953.18"
"C";"2023-02-13";"181.011";"72.74";"-0.41";"905.3031";"19.99";"68.33";"1084.9";"248.8576";"4274.12";"6953.18"
"C";"2023-02-12";"182.0314";"73.15";"-0.19";"905.3031";"20.11";"135.68";"604.6";"248.8576";"4274.12";"6953.18"
"C";"2023-02-11";"182.5013";"73.34";"-0.27";"905.3031";"20.16";"79.78";"754.1";"248.8576";"4274.12";"6953.18"
"C";"2023-02-10";"183.1782";"73.61";"-0.56";"905.3031";"20.23";"69.66";"1471.3";"248.8576";"4274.12";"6953.18"
"C";"2023-02-09";"184.5945";"74.18";"-0.74";"905.3031";"20.39";"67.6";"1915.7";"248.8576";"4274.12";"6953.18"
"C";"2023-02-08";"186.443";"74.92";"-0.75";"905.3031";"20.59";"51.11";"1906.4";"248.8576";"4274.12";"6953.18"
"C";"2023-02-07";"188.2984";"75.67";"-0.8";"905.3031";"20.8";"41.63";"2026.8";"248.8576";"4274.12";"6953.18"
"C";"2023-02-06";"190.258";"76.45";"-0.73";"905.3031";"21.02";"11.37";"1825.9";"248.8576";"4274.12";"6953.18"
"C";"2023-02-05";"190.9735";"77.36";"-0.31";"905.3031";"21.09";"26.59";"790.9";"246.8582";"4220.12";"6858.68"
"E";"2023-02-04";"192.7135";"77.44";"-0.26";"905.3031";"21.29";"45.11";"699.4";"248.8576";"4274.12";"6953.18"
"E";"2023-02-03";"193.3948";"77.71";"-0.2";"905.3031";"21.36";"63.22";"563.4";"248.8576";"4274.12";"6953.18"
"E";"2023-02-02";"193.895";"77.91";"-0.41";"905.3031";"21.42";"66.66";"1092.5";"248.8576";"4274.12";"6953.18"
"E";"2023-02-01";"194.9177";"78.32";"-0.46";"905.3031";"21.53";"63.73";"1203.7";"248.8576";"4274.12";"6953.18"
"E";"2023-01-31";"196.0344";"78.77";"-0.59";"905.3031";"21.65";"25.8";"1495";"248.8576";"4274.12";"6953.18"
"E";"2023-01-30";"195.2654";"79.2";"-0.59";"905.3031";"21.57";"5.89";"1470.8";"246.5576";"4254.42";"6879.26"
"E";"2023-01-29";"196.7252";"79.79";"-0.57";"905.3031";"21.73";"60.62";"1454.5";"246.5576";"4254.42";"6879.26"
"E";"2023-01-28";"198.1426";"80.36";"-0.71";"905.3031";"21.89";"46.45";"1799.3";"246.5576";"4254.42";"6879.26"
"E";"2023-01-27";"199.903";"81.08";"-1.02";"905.3031";"22.08";"20.86";"2534";"246.5576";"4254.42";"6879.26"
"E";"2023-01-26";"202.4132";"82.1";"-0.96";"905.3031";"22.36";"28.47";"2388.6";"246.5576";"4254.42";"6879.26"
"E";"2023-01-25";"204.1724";"82.81";"-0.99";"905.3031";"22.55";"34.42";"2466.2";"246.5576";"4254.42";"6879.26"
"C";"2023-01-24";"206.5981";"83.79";"-1.07";"905.3031";"22.82";"20.58";"2660";"246.5576";"4254.42";"6879.26"
"C";"2023-01-23";"209.2256";"84.86";"-1.03";"905.3031";"23.11";"8.77";"2556.1";"246.5576";"4254.42";"6879.26"
"C";"2023-01-22";"211.6529";"85.84";"-0.67";"905.3031";"23.38";"15.5";"1659.5";"246.5576";"4254.42";"6879.26"
"C";"2023-01-21";"213.323";"86.52";"-0.63";"905.3031";"23.56";"20.25";"1568.7";"246.5576";"4254.42";"6879.26"
"C";"2023-01-20";"214.879";"87.15";"-0.8";"905.3031";"23.74";"20.5";"1981.5";"246.5576";"4254.42";"6879.26"
"C";"2023-01-19";"216.8447";"87.95";"-0.76";"905.3031";"23.95";"18.95";"1892.4";"246.5576";"4254.42";"6879.26"
"C";"2023-01-18";"218.7014";"88.7";"-0.63";"905.3031";"24.16";"23.15";"1571.4";"246.5576";"4254.42";"6879.26"
"E";"2023-01-17";"220.2222";"89.32";"-0.55";"905.3031";"24.33";"42.87";"1407.7";"246.5576";"4254.42";"6879.26"
"E";"2023-01-16";"221.5885";"89.87";"-0.51";"905.3031";"24.48";"29.92";"1284.3";"246.5576";"4254.42";"6879.26"
"E";"2023-01-15";"222.8428";"90.38";"-0.09";"905.3031";"24.62";"132.6";"346.5";"246.5576";"4254.42";"6879.26"
"E";"2023-01-14";"223.0517";"90.47";"-0.06";"905.3031";"24.64";"168.42";"310.3";"246.5576";"4254.42";"6879.26"
"E";"2023-01-13";"223.1986";"90.53";"-0.11";"905.3031";"24.65";"114.95";"393.9";"246.5576";"4254.42";"6879.26"
"C";"2023-01-12";"223.4816";"90.64";"-0.09";"905.3031";"24.69";"118.49";"344.3";"246.5576";"4254.42";"6879.26"
"C";"2023-01-11";"223.7081";"90.73";"-0.08";"905.3031";"24.71";"92.32";"292.4";"246.5576";"4254.42";"6879.26"
"C";"2023-01-10";"223.9104";"91.01";"-0.1";"905.3031";"24.73";"129.2";"370.7";"246.0328";"4254.42";"6879.26"
"C";"2023-01-09";"224.1551";"91.11";"-0.09";"905.3031";"24.76";"112.78";"343.8";"246.0328";"4254.42";"6879.26"
"C";"2023-01-08";"224.3705";"91.2";"0.1";"905.3031";"24.78";"377.66";"125.1";"246.0328";"4254.42";"6879.26"
"C";"2023-01-07";"224.1212";"91.09";"0.13";"905.3031";"24.76";"441";"112.4";"246.0328";"4254.42";"6879.26"
"C";"2023-01-06";"223.8065";"90.97";"0.16";"905.3031";"24.72";"509.76";"119.3";"246.0328";"4254.42";"6879.26"
"C";"2023-01-05";"223.416";"90.81";"0.05";"905.3031";"24.68";"325.39";"190.2";"246.0328";"4254.42";"6879.26"
"C";"2023-01-04";"223.2809";"90.75";"0.04";"905.3031";"24.66";"312.36";"221.4";"246.0328";"4254.42";"6879.26"
"C";"2023-01-03";"223.19";"90.72";"0.06";"905.3031";"24.65";"435.3";"276.9";"246.0328";"4254.42";"6879.26"
"C";"2023-01-02";"222.9947";"90.64";"0.17";"905.3031";"24.63";"540.38";"112.2";"246.0328";"4254.42";"6879.26"
"E";"2023-01-01";"222.7181";"90.52";"0.41";"905.3031";"24.6";"1068.76";"71";"246.0328";"4254.42";"6879.26"
"E";"2022-12-31";"221.7115";"90.08";"0.44";"905.3031";"24.49";"1115.27";"38.2";"246.1328";"4254.42";"6879.26"
"E";"2022-12-30";"220.633";"89.64";"0.29";"905.3031";"24.37";"884.72";"170.7";"246.1328";"4254.42";"6879.26"
"C";"2022-12-29";"219.919";"89.35";"0.32";"905.3031";"24.29";"910.29";"115.7";"246.1328";"4254.42";"6879.26"
"C";"2022-12-28";"219.2254";"89.07";"0.23";"905.3031";"24.22";"702.11";"139";"246.1328";"4254.42";"6879.26"
"C";"2022-12-27";"218.669";"88.84";"0.22";"905.3031";"24.15";"718.27";"183.6";"246.1328";"4254.42";"6879.26"
"C";"2022-12-26";"218.1344";"88.62";"0.41";"905.3031";"24.1";"1047.04";"31.7";"246.1328";"4254.42";"6879.26"
"C";"2022-12-25";"217.119";"88.21";"0.38";"905.3031";"23.98";"966.54";"42.4";"246.1328";"4254.42";"6879.26"
"C";"2022-12-24";"216.1949";"87.84";"0.37";"905.3031";"23.88";"946.97";"43.1";"246.1328";"4254.42";"6879.26"
"C";"2022-12-23";"215.5892";"87.59";"0.15";"905.3031";"23.81";"614.14";"235.2";"246.1328";"4254.42";"6879.26"
"E";"2022-12-22";"215.2018";"87.43";"0.13";"905.3031";"23.77";"569.16";"249.2";"246.1328";"4014.42";"6879.26"
"C";"2022-12-21";"214.8782";"87.3";"0.11";"905.3031";"23.74";"526.57";"263.2";"246.1328";"4014.42";"6879.26"
"C";"2022-12-20";"214.6171";"87.2";"-0.1";"905.3031";"23.71";"174.15";"424.3";"246.1328";"4014.42";"6879.26"
"C";"2022-12-19";"214.8844";"87.3";"-0.31";"905.3031";"23.74";"98.06";"865.5";"246.1328";"4014.42";"6879.26"
"C";"2022-12-18";"215.6518";"87.62";"-0.34";"905.3031";"23.82";"158.1";"992.8";"246.1328";"4014.42";"6879.26"
"C";"2022-12-17";"216.4865";"87.96";"-0.45";"905.3031";"23.91";"80.83";"1200.6";"246.1328";"4014.42";"6879.26"
"C";"2022-12-16";"217.6044";"88.41";"-0.8";"905.3031";"24.04";"26.48";"1999.6";"246.1328";"4014.42";"6879.26"
"C";"2022-12-15";"219.5775";"89.21";"-1.02";"905.3031";"24.25";"16.11";"2520.6";"246.1328";"4014.42";"6879.26"
"C";"2022-12-14";"222.0821";"90.23";"-1.02";"905.3031";"24.53";"14.75";"2520.8";"246.1328";"4014.42";"6879.26"
"C";"2022-12-13";"224.6254";"91.26";"-1.13";"905.3031";"24.81";"22.49";"2815.6";"246.1328";"4014.42";"6951.26"
"C";"2022-12-12";"227.5416";"92.45";"-1.04";"905.3031";"25.13";"12.29";"2583.5";"246.1328";"4014.42";"6879.26"
"C";"2022-12-11";"230.1164";"93.49";"-0.53";"905.3031";"25.42";"21.61";"1318.1";"246.1328";"4014.42";"6879.26"
"C";"2022-12-10";"231.4146";"94.02";"-0.49";"905.3031";"25.56";"32.38";"1237.1";"246.1328";"4014.42";"6879.26"
"C";"2022-12-09";"232.6193";"94.51";"-0.53";"905.3031";"25.7";"31.56";"1333.6";"246.1328";"4014.42";"6879.26"
"C";"2022-12-08";"233.9468";"95.05";"-0.49";"905.3031";"25.84";"23.43";"1221.1";"246.1328";"4014.42";"6879.26"
"C";"2022-12-07";"235.1462";"95.54";"-0.42";"905.3031";"25.97";"59.59";"1099.6";"246.1328";"4014.42";"6879.26"
"C";"2022-12-06";"236.2078";"95.97";"-0.45";"905.3031";"26.09";"11.22";"1112.7";"246.1328";"4014.42";"6879.26"
"C";"2022-12-05";"237.2742";"96.4";"-0.36";"905.3031";"26.21";"40.32";"935.1";"246.1328";"4014.42";"6879.26"
"C";"2022-12-04";"238.174";"96.77";"-0.21";"905.3031";"26.31";"62.11";"572.1";"246.1328";"4254.42";"6879.26"
"C";"2022-12-03";"238.69";"96.98";"-0.2";"905.3031";"26.37";"43.08";"545.1";"246.1328";"4254.42";"6879.26"
"C";"2022-12-02";"239.1858";"97.18";"-0.45";"905.3031";"26.42";"11.09";"1122.6";"246.1328";"4254.42";"6879.26"
"C";"2022-12-01";"240.2925";"97.63";"-0.38";"905.3031";"26.54";"40.83";"965.6";"246.1328";"4014.42";"6879.26"
"C";"2022-11-30";"241.2161";"98";"-0.24";"905.3031";"26.64";"85.89";"673.6";"246.1328";"4014.42";"6879.26"
"C";"2022-11-29";"241.8025";"98.24";"-0.36";"905.3031";"26.71";"24.12";"898.9";"246.1328";"4014.42";"6879.26"
"C";"2022-11-28";"242.6823";"98.6";"-0.29";"905.3031";"26.81";"16.34";"732.8";"246.1328";"4014.42";"6879.26"
"C";"2022-11-27";"243.3845";"98.88";"0.05";"905.3031";"26.88";"187.62";"52.8";"246.1328";"4014.42";"6879.26"
"C";"2022-11-26";"243.2542";"98.83";"0.09";"905.3031";"26.87";"258";"45.1";"246.1328";"4014.42";"6879.26"
"C";"2022-11-25";"243.046";"98.75";"-0.06";"905.3031";"26.85";"124.37";"266.9";"246.1328";"4014.42";"6879.26"
"C";"2022-11-24";"243.1885";"98.8";"-0.11";"905.3031";"26.86";"41.71";"311.5";"246.1328";"4014.42";"6879.26"
"C";"2022-11-23";"243.4583";"98.95";"-0.15";"905.3031";"26.89";"87.22";"456.3";"246.0396";"4014.42";"6879.26"
"E";"2022-11-22";"243.8274";"99.26";"-0.12";"905.3031";"26.93";"70.24";"370.5";"245.6424";"4014.42";"6879.26"
"C";"2022-11-21";"244.1141";"99.38";"-0.23";"905.3031";"26.96";"48.09";"611.3";"245.6424";"4014.42";"6879.26"
"C";"2022-11-20";"244.5391";"99.55";"-0.12";"905.3031";"27.01";"37.59";"334.8";"245.6424";"4254.42";"6879.26"
"C";"2022-11-19";"244.8363";"99.68";"-0.12";"905.3031";"27.04";"34.14";"326.2";"245.6224";"4254.42";"6879.26"
"C";"2022-11-18";"245.1238";"99.8";"-0.1";"905.3031";"27.08";"46.5";"288.8";"245.6224";"4254.42";"6879.26"
