Gastag;Positiver Ausgleichsenergiepreis (EUR/MWh);Negativer Ausgleichsenergiepreis (EUR/MWh);Preis System Buy (EUR/MWh);Preis System Sell (EUR/MWh);VHP-Index (EUR/MWh);VHP-Index + 2 % (EUR/MWh);VHP-Index - 2 % (EUR/MWh)
28.11.2022;128,625;118,675;128,625;118,675;123,386;125,854;120,918
27.11.2022;123,765;117,250;n/a;117,250;121,338;123,765;118,911
26.11.2022;123,801;118,947;n/a;120,025;121,374;123,801;118,947
25.11.2022;124,658;112,400;123,400;112,400;122,214;124,658;119,770
24.11.2022;127,752;122,742;n/a;123,900;125,247;127,752;122,742
23.11.2022;124,750;114,635;124,750;117,500;116,974;119,313;114,635
22.11.2022;117,166;104,100;n/a;104,100;114,869;117,166;112,572
21.11.2022;111,920;101,850;n/a;101,850;109,725;111,919;107,531
20.11.2022;113,000;105,500;113,000;105,500;108,384;110,552;106,216
19.11.2022;113,000;105,000;113,000;105,000;108,278;110,444;106,112
18.11.2022;113,000;99,900;113,000;99,900;103,074;105,135;101,013
17.11.2022;108,410;82,000;n/a;82,000;106,284;108,410;104,158
16.11.2022;119,551;105,000;n/a;105,000;117,207;119,551;114,863
15.11.2022;129,000;106,046;129,000;112,975;108,210;110,374;106,046
14.11.2022;106,000;78,259;106,000;85,500;79,856;81,453;78,259
13.11.2022;85,000;70,524;85,000;77,000;71,963;73,402;70,524
12.11.2022;70,359;55,750;64,000;55,750;68,979;70,359;67,599
11.11.2022;84,252;60,950;83,000;60,950;82,600;84,252;80,948
10.11.2022;93,965;70,000;91,100;70,000;92,123;93,965;90,281
09.11.2022;93,000;83,212;93,000;84,000;84,910;86,608;83,212
08.11.2022;75,750;59,869;75,750;64,300;61,091;62,313;59,869
07.11.2022;60,762;54,500;60,000;54,500;59,571;60,762;58,380
06.11.2022;65,050;56,000;65,050;56,000;58,404;59,572;57,236
05.11.2022;68,100;56,650;68,100;56,650;58,784;59,960;57,608
04.11.2022;94,400;74,861;94,400;75,250;76,389;77,917;74,861
03.11.2022;90,000;50,851;90,000;64,000;51,889;52,927;50,851
02.11.2022;31,900;12,000;31,900;12,000;29,389;29,977;28,801
01.11.2022;36,910;17,000;30,000;17,000;36,186;36,910;35,462
31.10.2022;86,450;42,961;86,450;47,900;43,838;44,715;42,961
30.10.2022;52,000;33,862;52,000;36,500;34,553;35,244;33,862
29.10.2022;49,000;32,150;49,000;32,150;33,001;33,661;32,341
28.10.2022;60,000;20,500;60,000;20,500;36,624;37,356;35,892
27.10.2022;71,050;1,000;71,050;1,000;47,042;47,983;46,101
26.10.2022;90,000;31,000;90,000;31,000;42,754;43,609;41,899
25.10.2022;65,000;15,000;65,000;15,000;32,818;33,474;32,162
24.10.2022;43,738;11,000;38,150;11,000;42,880;43,738;42,022
23.10.2022;43,503;5,000;35,000;5,000;42,650;43,503;41,797
22.10.2022;45,422;10,000;n/a;10,000;44,531;45,422;43,640
21.10.2022;65,000;54,625;65,000;54,625;62,885;64,143;61,627
20.10.2022;73,000;68,585;73,000;n/a;69,985;71,385;68,585
19.10.2022;90,650;61,306;90,650;64,800;62,557;63,808;61,306
18.10.2022;73,250;58,000;73,250;58,000;62,491;63,741;61,241
17.10.2022;72,864;61,000;n/a;61,000;71,435;72,864;70,006
16.10.2022;72,365;33,000;n/a;33,000;70,946;72,365;69,527
15.10.2022;72,192;57,000;n/a;57,000;70,776;72,192;69,360
14.10.2022;98,000;54,000;98,000;54,000;96,024;97,944;94,104
13.10.2022;120,000;96,450;120,000;96,450;105,254;107,359;103,149
12.10.2022;116,900;75,500;116,900;75,500;106,372;108,499;104,245
11.10.2022;125,000;87,000;125,000;87,000;106,148;108,271;104,025
10.10.2022;114,619;74,900;109,000;74,900;112,372;114,619;110,125
09.10.2022;109,988;55,000;99,000;55,000;107,831;109,988;105,674
08.10.2022;112,698;40,000;n/a;40,000;110,488;112,698;108,278
07.10.2022;123,435;60,000;n/a;60,000;121,015;123,435;118,595
